,RMSD,MCQ,TM-score
normalized_trrosettarna_rp08_3.pdb,2.14,29.06,0.842
normalized_trrosettarna_rp08_1.pdb,2.177,25.38,0.843
normalized_trrosettarna_rp08_2.pdb,2.243,28.01,0.838
normalized_trrosettarna_rp08_4.pdb,2.324,34.38,0.838
normalized_alphafold3_rp08_1.pdb,3.108,9.77,0.747
normalized_alphafold3_rp08_4.pdb,3.124,9.58,0.777
normalized_alphafold3_rp08_3.pdb,3.175,9.79,0.758
normalized_alphafold3_rp08_5.pdb,3.186,9.76,0.73
normalized_alphafold3_rp08_2.pdb,3.196,9.69,0.756
normalized_best_rp08_38.pdb,4.801,17.67,0.596
normalized_best_rp08_36.pdb,6.377,16.59,0.591
normalized_best_rp08_7.pdb,6.709,20.45,0.535
normalized_best_rp08_16.pdb,6.815,18.02,0.507
normalized_best_rp08_41.pdb,10.653,16.72,0.577
normalized_best_rp08_20.pdb,10.772,20.24,0.55
normalized_best_rp08_29.pdb,10.782,19.01,0.577
normalized_best_rp08_14.pdb,10.799,21.03,0.511
normalized_best_rp08_26.pdb,10.804,18.86,0.579
normalized_best_rp08_8.pdb,11.03,16.44,0.521
normalized_best_rp08_33.pdb,11.285,22.74,0.33
normalized_best_rp08_2.pdb,11.3,31.04,0.335
normalized_best_rp08_11.pdb,11.311,17.24,0.501
normalized_best_rp08_31.pdb,11.328,21.36,0.389
normalized_best_rp08_6.pdb,11.332,19.97,0.399
normalized_best_rp08_18.pdb,11.478,17.93,0.471
normalized_best_rp08_21.pdb,11.671,21.86,0.327
normalized_best_rp08_27.pdb,11.765,31.04,0.319
normalized_best_rp08_5.pdb,11.782,16.3,0.524
normalized_best_rp08_12.pdb,11.84,17.15,0.512
normalized_best_rp08_42.pdb,12.09,21.78,0.383
normalized_best_rp08_17.pdb,12.152,23.26,0.321
normalized_best_rp08_9.pdb,12.165,15.89,0.505
normalized_best_rp08_10.pdb,12.265,16.91,0.526
normalized_best_rp08_19.pdb,12.388,21.0,0.441
normalized_best_rp08_30.pdb,12.484,19.87,0.352
normalized_best_rp08_34.pdb,12.793,21.93,0.284
normalized_best_rp08_28.pdb,12.8,23.83,0.295
normalized_best_rp08_22.pdb,12.883,23.01,0.326
normalized_best_rp08_39.pdb,13.08,23.85,0.335
normalized_best_rp08_37.pdb,13.5,22.41,0.437
normalized_best_rp08_25.pdb,13.531,20.87,0.372
normalized_best_rp08_15.pdb,13.902,21.74,0.251
normalized_best_rp08_13.pdb,14.459,21.89,0.26
normalized_best_rp08_4.pdb,14.986,20.56,0.339
normalized_best_rp08_24.pdb,15.173,20.54,0.358
normalized_best_rp08_3.pdb,15.809,28.7,0.293
normalized_best_rp08_1.pdb,16.22,21.06,0.31
normalized_vfoldpipeline_rp08.pdb,16.759,27.44,0.284
normalized_3drna_rp08.pdb,17.689,30.98,0.275
normalized_mcsym_rp08.pdb,18.178,32.91,0.182
normalized_vfold_rp08.pdb,18.418,29.04,0.189
normalized_best_rp08_35.pdb,18.62,24.93,0.256
normalized_simrna_rp08.pdb,19.48,21.28,0.237
normalized_trrosettarna_rp08_5.pdb,20.05,62.88,0.171
normalized_rhofold_rp08.pdb,20.099,54.31,0.219
normalized_isrna_rp08.pdb,20.771,20.12,0.233
normalized_3drna_rp08_1.pdb,23.195,31.48,0.276
normalized_best_rp08_40.pdb,23.687,23.38,0.22
normalized_rnajp_rp08.pdb,23.859,24.22,0.22
normalized_best_rp08_32.pdb,24.753,23.16,0.212
normalized_eprna_rp08.pdb,25.509,91.95,0.153
normalized_3drna_rp08_4.pdb,26.078,32.85,0.255
normalized_3drna_rp08_5.pdb,26.523,29.78,0.249
normalized_3drna_rp08_2.pdb,27.587,27.49,0.25
normalized_rnacomposer_rp08.pdb,27.932,22.66,0.189
normalized_3drna_rp08_3.pdb,29.789,34.32,0.268
normalized_ifoldrna_rp08_5.pdb,29.913,27.32,0.191
normalized_ifoldrna_rp08_1.pdb,31.11,28.9,0.174
normalized_best_rp08_23.pdb,31.294,24.31,0.161
normalized_ifoldrna_rp08_4.pdb,31.48,27.31,0.195
normalized_ifoldrna_rp08_2.pdb,32.5,28.38,0.16
normalized_ifoldrna_rp08_3.pdb,33.209,28.71,0.157
