,RMSD,MCQ,TM-score
normalized_trrosettarna_rp12_1.pdb,2.601,31.21,0.876
normalized_trrosettarna_rp12_2.pdb,2.613,39.27,0.863
normalized_alphafold3_rp12_2.pdb,3.139,17.37,0.779
normalized_alphafold3_rp12_4.pdb,3.158,17.54,0.787
normalized_alphafold3_rp12_5.pdb,3.172,17.54,0.777
normalized_alphafold3_rp12_3.pdb,3.181,17.35,0.785
normalized_alphafold3_rp12_1.pdb,3.228,17.4,0.778
normalized_rhofold_rp12.pdb,4.58,48.48,0.605
normalized_trrosettarna_rp12_3.pdb,19.362,61.13,0.227
normalized_trrosettarna_rp12_5.pdb,19.381,66.92,0.212
normalized_trrosettarna_rp12_4.pdb,19.424,62.51,0.227
normalized_3drna_rp12_3.pdb,24.642,39.47,0.219
normalized_vfold_rp12.pdb,24.924,35.36,0.256
normalized_rnacomposer_rp12.pdb,25.771,29.76,0.225
normalized_rnajp_rp12.pdb,26.359,26.59,0.209
normalized_3drna_rp12_4.pdb,28.538,38.2,0.196
normalized_3drna_rp12_5.pdb,29.174,44.88,0.196
normalized_eprna_rp12.pdb,29.274,95.12,0.156
normalized_3drna_rp12_1.pdb,29.436,37.09,0.254
normalized_3drna_rp12_2.pdb,29.474,42.17,0.236
normalized_3drna_rp12.pdb,29.499,36.38,0.196
normalized_isrna_rp12.pdb,45.919,25.21,0.224
normalized_ifoldrna_rp12_4.pdb,46.537,29.4,0.132
normalized_ifoldrna_rp12_3.pdb,48.272,31.55,0.141
normalized_vfoldpipeline_rp12.pdb,48.283,35.53,0.166
normalized_ifoldrna_rp12_2.pdb,48.309,33.06,0.139
normalized_ifoldrna_rp12_5.pdb,49.608,31.29,0.155
normalized_ifoldrna_rp12_1.pdb,49.783,30.35,0.118
normalized_simrna_rp12.pdb,102.436,49.09,0.069
normalized_best_rp12_27.pdb,,,0.241
normalized_best_rp12_34.pdb,,,0.239
normalized_best_rp12_36.pdb,,,0.242
normalized_best_rp12_30.pdb,,,0.347
normalized_best_rp12_44.pdb,,,0.228
normalized_best_rp12_13.pdb,,,0.2
normalized_best_rp12_10.pdb,,,0.351
normalized_best_rp12_40.pdb,,,0.225
normalized_best_rp12_23.pdb,,,0.338
normalized_best_rp12_4.pdb,,,0.218
normalized_best_rp12_49.pdb,,,0.305
normalized_best_rp12_21.pdb,,,0.318
normalized_best_rp12_14.pdb,,,0.314
normalized_best_rp12_12.pdb,,,0.329
normalized_best_rp12_18.pdb,,,0.258
normalized_best_rp12_35.pdb,,,0.202
normalized_best_rp12_16.pdb,,,0.327
normalized_best_rp12_15.pdb,,,0.296
normalized_best_rp12_9.pdb,,,0.204
normalized_best_rp12_6.pdb,,,0.225
normalized_best_rp12_28.pdb,,,0.261
normalized_best_rp12_37.pdb,,,0.289
normalized_best_rp12_43.pdb,,,0.238
normalized_best_rp12_33.pdb,,,0.317
normalized_best_rp12_3.pdb,,,0.356
normalized_best_rp12_7.pdb,,,0.315
normalized_best_rp12_20.pdb,,,0.344
normalized_best_rp12_24.pdb,,,0.223
normalized_best_rp12_25.pdb,,,0.294
normalized_best_rp12_38.pdb,,,0.28
normalized_best_rp12_29.pdb,,,0.26
normalized_best_rp12_48.pdb,,,0.317
normalized_best_rp12_1.pdb,,,0.332
normalized_best_rp12_41.pdb,,,0.361
normalized_best_rp12_45.pdb,,,0.318
normalized_best_rp12_31.pdb,,,0.336
normalized_best_rp12_2.pdb,,,0.387
normalized_best_rp12_8.pdb,,,0.219
normalized_best_rp12_39.pdb,,,0.342
normalized_best_rp12_46.pdb,,,0.302
normalized_best_rp12_47.pdb,,,0.247
normalized_best_rp12_26.pdb,,,0.214
normalized_best_rp12_17.pdb,,,0.354
normalized_best_rp12_22.pdb,,,0.244
normalized_best_rp12_50.pdb,,,0.245
normalized_best_rp12_5.pdb,,,0.226
normalized_best_rp12_19.pdb,,,0.241
normalized_best_rp12_32.pdb,,,0.203
normalized_best_rp12_42.pdb,,,0.346
normalized_best_rp12_11.pdb,,,0.338
normalized_best_rp12_51.pdb,,,0.183
