,RMSD,MCQ,TM-score
normalized_alphafold3_rp21_3.pdb,1.294,20.64,0.741
normalized_alphafold3_rp21_2.pdb,1.301,20.96,0.732
normalized_alphafold3_rp21_4.pdb,1.339,20.59,0.719
normalized_alphafold3_rp21_1.pdb,1.357,20.96,0.743
normalized_alphafold3_rp21_5.pdb,1.471,20.88,0.714
normalized_trrosettarna_rp21_1.pdb,1.92,33.29,0.539
normalized_trrosettarna_rp21_3.pdb,2.229,40.39,0.459
normalized_trrosettarna_rp21_2.pdb,2.384,36.27,0.498
normalized_best_rp21_18.pdb,3.83,29.61,0.325
normalized_best_rp21_72.pdb,3.83,29.61,0.325
normalized_best_rp21_51.pdb,3.83,29.61,0.325
normalized_best_rp21_4.pdb,3.83,29.61,0.325
normalized_best_rp21_7.pdb,3.83,29.61,0.325
normalized_best_rp21_39.pdb,3.83,29.61,0.325
normalized_best_rp21_74.pdb,3.933,28.28,0.329
normalized_best_rp21_69.pdb,4.135,26.09,0.292
normalized_best_rp21_75.pdb,4.139,30.2,0.328
normalized_best_rp21_34.pdb,4.139,30.2,0.328
normalized_best_rp21_13.pdb,4.139,30.2,0.328
normalized_best_rp21_47.pdb,4.139,30.2,0.328
normalized_best_rp21_28.pdb,4.139,30.2,0.328
normalized_best_rp21_14.pdb,4.139,30.2,0.328
normalized_rhofold_rp21.pdb,4.16,60.5,0.298
normalized_best_rp21_81.pdb,4.74,33.76,0.257
normalized_best_rp21_93.pdb,4.74,33.76,0.257
normalized_best_rp21_80.pdb,4.746,34.69,0.278
normalized_best_rp21_90.pdb,4.746,34.69,0.278
normalized_best_rp21_85.pdb,4.802,36.37,0.248
normalized_best_rp21_78.pdb,4.802,36.37,0.248
normalized_best_rp21_83.pdb,4.808,36.12,0.232
normalized_best_rp21_89.pdb,4.808,36.12,0.232
normalized_best_rp21_61.pdb,4.815,36.76,0.235
normalized_best_rp21_2.pdb,4.815,36.76,0.235
normalized_best_rp21_40.pdb,4.815,36.76,0.235
normalized_best_rp21_20.pdb,4.816,36.76,0.235
normalized_best_rp21_24.pdb,4.816,36.76,0.235
normalized_best_rp21_50.pdb,4.816,36.76,0.235
normalized_best_rp21_42.pdb,4.886,29.14,0.335
normalized_best_rp21_25.pdb,5.099,29.22,0.295
normalized_best_rp21_6.pdb,5.099,29.22,0.295
normalized_best_rp21_44.pdb,5.099,29.22,0.295
normalized_best_rp21_54.pdb,5.099,29.22,0.295
normalized_best_rp21_67.pdb,5.099,29.22,0.295
normalized_best_rp21_3.pdb,5.099,29.22,0.295
normalized_simrna_rp21.pdb,5.159,31.47,0.314
normalized_3drna_rp21_1.pdb,5.31,27.07,0.55
normalized_best_rp21_41.pdb,5.345,27.49,0.296
normalized_best_rp21_52.pdb,5.504,26.8,0.29
normalized_best_rp21_35.pdb,5.506,28.37,0.316
normalized_best_rp21_87.pdb,5.692,36.24,0.208
normalized_best_rp21_82.pdb,5.692,36.24,0.208
normalized_best_rp21_53.pdb,6.099,27.74,0.305
normalized_best_rp21_59.pdb,6.39,26.81,0.222
normalized_3drna_rp21_5.pdb,6.481,29.54,0.482
normalized_best_rp21_33.pdb,6.541,29.87,0.279
normalized_best_rp21_49.pdb,6.866,28.82,0.273
normalized_best_rp21_43.pdb,7.238,31.24,0.289
normalized_best_rp21_58.pdb,7.238,31.24,0.289
normalized_best_rp21_19.pdb,7.238,31.24,0.289
normalized_best_rp21_8.pdb,7.238,31.24,0.289
normalized_best_rp21_23.pdb,7.238,31.24,0.289
normalized_best_rp21_55.pdb,7.238,31.24,0.289
normalized_3drna_rp21_2.pdb,7.256,32.19,0.472
normalized_best_rp21_46.pdb,9.017,29.79,0.279
normalized_best_rp21_60.pdb,9.038,28.17,0.208
